Fecha,Invernadero,Temperatura,Humedad,CO2,N,P,K,Conductividad,Humedad_Suelo,pH,Luz_Ambiental
2024-10-05 18:26:24.268435,Invernadero_1,13.98,18.55,11.07,28.59,27.09,17.49,21.65,19.1,21.93,13.01
2024-10-05 18:26:24.268435,Invernadero_2,28.34,13.24,18.9,12.41,25.03,19.68,21.68,24.91,10.6,18.33
2024-10-05 18:26:24.268435,Invernadero_3,18.55,28.4,14.72,27.84,27.53,15.42,27.85,12.47,11.0,14.25
2024-10-05 18:26:24.268435,Invernadero_4,16.24,25.82,25.99,25.07,25.35,20.17,26.21,26.14,29.05,27.47
2024-10-05 22:26:24.268435,Invernadero_1,15.56,20.21,19.0,21.87,26.28,16.94,11.4,18.55,11.41,20.33
2024-10-05 22:26:24.268435,Invernadero_2,26.2,19.45,16.03,17.55,13.08,15.82,21.5,25.03,22.78,23.92
2024-10-05 22:26:24.268435,Invernadero_3,15.22,17.58,23.85,23.11,19.85,15.82,22.83,28.34,22.84,10.19
2024-10-05 22:26:24.268435,Invernadero_4,22.47,22.73,28.58,24.14,25.79,29.92,18.34,12.51,19.88,22.41
2024-10-06 02:26:24.268435,Invernadero_1,12.51,10.77,10.52,10.98,15.91,17.83,12.15,20.39,25.99,24.34
2024-10-06 02:26:24.268435,Invernadero_2,21.4,27.5,26.74,13.12,23.46,26.08,18.8,30.0,14.41,23.56
2024-10-06 02:26:24.268435,Invernadero_3,11.7,12.65,27.89,26.22,10.68,21.91,13.58,26.84,15.89,12.14
2024-10-06 02:26:24.268435,Invernadero_4,14.66,10.53,24.92,12.22,10.82,21.92,24.77,19.06,10.67,11.15
2024-10-06 06:26:24.268435,Invernadero_1,25.49,17.71,26.62,17.88,16.2,27.33,17.95,10.35,23.76,19.92
2024-10-06 06:26:24.268435,Invernadero_2,24.17,24.96,22.69,11.91,27.17,18.95,26.04,21.05,21.68,26.68
2024-10-06 06:26:24.268435,Invernadero_3,25.76,20.37,22.32,17.29,18.8,17.42,20.79,23.99,13.67,19.56
2024-10-06 06:26:24.268435,Invernadero_4,27.06,16.46,21.43,18.32,18.78,28.39,14.43,26.58,22.59,10.94
2024-10-06 10:26:24.268435,Invernadero_1,10.04,28.91,21.01,28.73,23.88,16.47,28.75,23.79,18.6,15.93
2024-10-06 10:26:24.268435,Invernadero_2,29.09,28.02,28.7,15.66,22.68,17.33,11.76,29.51,25.48,27.92
2024-10-06 10:26:24.268435,Invernadero_3,23.01,15.09,27.83,14.25,22.34,26.91,21.81,20.31,14.09,27.89
2024-10-06 10:26:24.268435,Invernadero_4,12.76,20.88,27.61,29.0,20.27,17.77,10.33,20.35,10.82,19.83
2024-10-06 14:26:24.268435,Invernadero_1,21.2,14.99,10.69,14.19,11.06,27.85,12.82,17.28,28.83,27.1
2024-10-06 14:26:24.268435,Invernadero_2,16.36,22.18,20.75,24.18,25.57,23.63,22.29,29.15,11.39,24.21
2024-10-06 14:26:24.268435,Invernadero_3,19.18,21.83,17.96,14.19,13.13,25.66,27.67,13.75,22.76,25.24
2024-10-06 14:26:24.268435,Invernadero_4,14.45,26.57,25.45,20.98,13.99,15.05,12.11,27.21,26.85,20.65
2024-10-06 18:26:24.268435,Invernadero_1,18.18,10.34,15.63,24.71,21.64,15.25,20.39,23.68,10.59,28.86
2024-10-06 18:26:24.268435,Invernadero_2,24.88,10.99,24.85,28.51,20.65,24.12,24.85,11.14,28.29,18.3
2024-10-06 18:26:24.268435,Invernadero_3,25.97,22.77,17.42,24.75,19.32,14.14,11.98,26.74,16.24,25.7
2024-10-06 18:26:24.268435,Invernadero_4,17.15,21.51,29.65,20.28,27.43,28.65,13.72,11.06,22.61,10.31
2024-10-06 22:26:24.268435,Invernadero_1,27.27,18.88,25.91,22.55,24.55,25.79,26.02,28.21,17.73,18.45
2024-10-06 22:26:24.268435,Invernadero_2,25.27,10.53,22.8,21.11,23.87,23.15,17.76,10.57,17.49,15.47
2024-10-06 22:26:24.268435,Invernadero_3,26.86,21.34,17.78,27.03,17.58,13.33,15.6,11.82,28.8,24.03
2024-10-06 22:26:24.268435,Invernadero_4,19.08,14.09,15.35,20.29,14.62,22.65,25.4,24.7,29.58,10.87
2024-10-07 02:26:24.268435,Invernadero_1,12.99,18.86,26.01,26.86,23.52,14.29,22.53,16.64,29.62,10.8
2024-10-07 02:26:24.268435,Invernadero_2,24.26,25.56,26.21,29.81,25.81,21.39,19.67,10.87,25.09,12.5
2024-10-07 02:26:24.268435,Invernadero_3,15.38,19.82,16.52,26.69,14.41,12.98,12.85,13.32,20.84,27.5
2024-10-07 02:26:24.268435,Invernadero_4,15.66,20.62,18.96,21.23,16.82,28.89,11.74,20.63,26.44,11.23
2024-10-07 06:26:24.268435,Invernadero_1,28.54,12.4,16.72,13.02,11.55,10.38,13.43,14.04,26.14,26.48
2024-10-07 06:26:24.268435,Invernadero_2,20.22,11.33,29.14,16.01,10.74,15.49,12.42,15.8,16.61,23.2
2024-10-07 06:26:24.268435,Invernadero_3,10.47,26.0,23.16,27.02,19.42,25.34,16.81,20.47,29.63,22.32
2024-10-07 06:26:24.268435,Invernadero_4,10.3,29.31,15.37,24.01,18.5,19.05,29.48,21.45,21.11,22.9
2024-10-07 10:26:24.268435,Invernadero_1,13.84,13.99,21.86,17.07,21.75,13.82,11.25,19.29,28.83,15.26
2024-10-07 10:26:24.268435,Invernadero_2,14.28,16.73,21.87,25.58,11.76,12.43,11.87,12.59,28.12,26.46
2024-10-07 10:26:24.268435,Invernadero_3,13.58,21.57,26.63,25.98,14.84,19.66,12.54,29.87,16.93,26.58
2024-10-07 10:26:24.268435,Invernadero_4,16.86,28.08,27.93,16.68,24.08,19.16,23.81,29.36,17.77,12.77
2024-10-07 14:26:24.268435,Invernadero_1,17.06,12.54,26.31,15.3,19.8,17.33,20.62,11.09,17.44,25.06
2024-10-07 14:26:24.268435,Invernadero_2,21.39,15.87,22.1,22.85,23.31,15.81,27.9,10.93,10.18,15.69
2024-10-07 14:26:24.268435,Invernadero_3,20.03,16.48,24.69,23.8,25.27,20.67,19.43,28.75,17.75,25.23
2024-10-07 14:26:24.268435,Invernadero_4,27.23,21.94,13.15,21.66,28.91,14.69,27.59,21.08,19.75,17.85
2024-10-07 18:26:24.268435,Invernadero_1,15.65,20.15,23.68,16.03,26.37,14.8,27.44,18.21,18.17,10.15
2024-10-07 18:26:24.268435,Invernadero_2,26.13,26.11,24.06,13.92,25.76,20.47,23.17,16.65,27.29,10.06
2024-10-07 18:26:24.268435,Invernadero_3,18.72,11.04,10.96,21.85,27.72,26.55,15.03,26.66,11.03,17.24
2024-10-07 18:26:24.268435,Invernadero_4,22.64,21.38,11.64,24.16,22.83,23.85,10.67,23.42,20.9,12.94
2024-10-07 22:26:24.268435,Invernadero_1,19.97,23.46,17.75,16.18,20.89,20.44,12.22,19.46,12.07,14.23
2024-10-07 22:26:24.268435,Invernadero_2,25.91,22.33,10.28,12.84,22.8,23.19,21.33,24.17,12.0,24.4
2024-10-07 22:26:24.268435,Invernadero_3,19.74,22.17,18.13,18.95,12.19,29.1,16.87,22.92,28.7,13.92
2024-10-07 22:26:24.268435,Invernadero_4,17.38,29.86,29.81,14.29,20.86,19.23,27.73,11.92,25.78,15.51
2024-10-08 02:26:24.268435,Invernadero_1,17.35,20.8,17.55,24.65,19.13,16.4,16.8,16.95,21.02,29.0
2024-10-08 02:26:24.268435,Invernadero_2,19.4,12.35,17.51,17.06,27.27,24.07,19.46,23.61,12.9,18.19
2024-10-08 02:26:24.268435,Invernadero_3,16.38,23.69,29.52,18.95,20.29,28.32,19.34,29.68,13.23,18.36
2024-10-08 02:26:24.268435,Invernadero_4,18.52,21.32,17.66,26.85,19.17,10.21,20.37,10.28,29.43,13.81
2024-10-08 06:26:24.268435,Invernadero_1,12.91,19.6,27.15,15.13,27.06,20.29,16.55,11.85,18.7,26.79
2024-10-08 06:26:24.268435,Invernadero_2,25.3,18.05,11.02,25.86,25.4,16.25,23.9,17.45,27.63,26.98
2024-10-08 06:26:24.268435,Invernadero_3,27.4,17.33,26.13,28.64,13.33,20.75,12.71,27.28,29.88,21.17
2024-10-08 06:26:24.268435,Invernadero_4,27.95,27.31,25.31,27.76,11.57,14.24,16.74,29.91,18.82,14.71
2024-10-08 10:26:24.268435,Invernadero_1,25.99,22.89,16.82,29.37,15.59,12.55,11.92,16.76,23.27,16.31
2024-10-08 10:26:24.268435,Invernadero_2,10.29,23.07,16.27,19.78,18.56,28.81,14.73,18.16,25.36,13.24
2024-10-08 10:26:24.268435,Invernadero_3,16.63,11.75,27.04,13.16,25.44,13.46,17.71,26.61,13.28,22.9
2024-10-08 10:26:24.268435,Invernadero_4,16.17,15.85,23.8,16.68,12.05,16.1,14.53,21.58,18.6,13.04
2024-10-08 14:26:24.268435,Invernadero_1,12.34,18.21,20.29,27.31,13.23,29.85,14.29,12.91,14.55,15.29
2024-10-08 14:26:24.268435,Invernadero_2,28.39,21.76,18.61,12.51,16.78,24.89,17.15,25.66,12.78,19.65
2024-10-08 14:26:24.268435,Invernadero_3,25.09,10.09,29.6,29.51,20.36,15.23,16.58,10.29,13.88,13.51
2024-10-08 14:26:24.268435,Invernadero_4,23.53,17.21,18.87,28.71,10.72,10.06,16.43,26.9,12.67,24.66
2024-10-08 18:26:24.268435,Invernadero_1,19.74,17.44,29.18,16.44,13.59,25.28,13.67,28.92,25.7,18.0
2024-10-08 18:26:24.268435,Invernadero_2,23.57,14.17,22.21,25.57,15.31,22.29,20.43,15.07,10.62,27.35
2024-10-08 18:26:24.268435,Invernadero_3,21.93,28.62,23.98,26.86,29.95,21.24,25.41,16.42,23.65,28.31
2024-10-08 18:26:24.268435,Invernadero_4,17.67,25.44,28.89,18.81,27.41,14.3,17.28,26.95,16.59,17.42
2024-10-08 22:26:24.268435,Invernadero_1,11.91,19.78,13.15,17.64,26.46,11.1,15.23,13.49,15.41,13.31
2024-10-08 22:26:24.268435,Invernadero_2,29.69,16.4,17.3,16.33,28.88,25.44,26.61,25.46,21.84,10.13
2024-10-08 22:26:24.268435,Invernadero_3,27.08,10.54,22.73,18.39,24.41,14.62,29.37,20.97,26.75,26.55
2024-10-08 22:26:24.268435,Invernadero_4,22.8,17.63,13.14,12.42,25.67,27.25,18.04,26.91,20.96,15.66
2024-10-09 02:26:24.268435,Invernadero_1,27.44,10.41,12.39,18.03,19.3,21.8,28.02,27.81,14.21,19.44
2024-10-09 02:26:24.268435,Invernadero_2,22.12,26.72,22.45,14.07,21.79,21.28,29.83,25.11,13.02,20.94
2024-10-09 02:26:24.268435,Invernadero_3,24.09,20.16,29.81,16.9,12.5,11.66,17.64,27.72,10.83,26.2
2024-10-09 02:26:24.268435,Invernadero_4,20.75,28.86,29.96,21.63,13.36,14.04,12.78,22.37,17.8,10.68
2024-10-09 06:26:24.268435,Invernadero_1,13.0,28.22,27.58,16.08,19.77,27.73,13.43,29.07,11.96,28.4
2024-10-09 06:26:24.268435,Invernadero_2,27.67,18.59,19.45,29.83,18.91,26.71,20.18,11.75,26.18,17.65
2024-10-09 06:26:24.268435,Invernadero_3,21.9,18.66,26.7,26.33,22.29,18.15,21.92,10.24,14.08,17.61
2024-10-09 06:26:24.268435,Invernadero_4,10.87,11.33,18.58,20.96,26.84,25.46,26.58,14.32,19.55,26.32
2024-10-09 10:26:24.268435,Invernadero_1,13.57,20.93,16.44,18.81,16.94,17.84,14.66,20.28,20.63,27.79
2024-10-09 10:26:24.268435,Invernadero_2,27.64,15.57,10.59,23.37,11.44,17.91,14.29,15.53,25.5,13.36
2024-10-09 10:26:24.268435,Invernadero_3,16.13,17.77,14.57,26.01,23.24,10.07,21.66,10.18,18.46,16.2
2024-10-09 10:26:24.268435,Invernadero_4,25.86,19.05,24.57,23.95,23.91,19.88,17.98,15.39,13.03,25.84
2024-10-09 14:26:24.268435,Invernadero_1,20.66,21.74,29.25,17.66,20.47,20.14,10.12,19.55,25.1,13.12
2024-10-09 14:26:24.268435,Invernadero_2,13.41,16.98,11.68,18.27,21.38,21.74,26.91,24.41,16.51,15.47
2024-10-09 14:26:24.268435,Invernadero_3,23.95,12.05,21.42,23.02,20.4,16.57,24.43,27.07,28.51,25.06
2024-10-09 14:26:24.268435,Invernadero_4,18.74,18.58,18.08,14.3,11.61,23.69,15.26,23.01,15.16,28.13
2024-10-09 18:26:24.268435,Invernadero_1,29.23,16.35,24.86,12.86,22.89,26.8,25.64,15.86,19.09,15.46
2024-10-09 18:26:24.268435,Invernadero_2,12.42,29.54,25.33,25.41,16.56,29.99,11.15,28.86,10.61,14.48
2024-10-09 18:26:24.268435,Invernadero_3,18.85,25.0,18.02,16.61,28.48,10.72,29.21,20.72,20.13,27.11
2024-10-09 18:26:24.268435,Invernadero_4,26.55,23.75,26.71,13.63,20.87,25.75,19.91,14.5,21.63,29.13
2024-10-09 22:26:24.268435,Invernadero_1,14.64,25.26,25.38,28.88,23.84,22.01,15.19,12.68,16.19,15.31
2024-10-09 22:26:24.268435,Invernadero_2,20.7,18.32,29.54,12.47,29.68,22.64,14.28,11.79,11.23,19.17
2024-10-09 22:26:24.268435,Invernadero_3,24.08,25.49,18.4,23.91,14.8,27.44,29.12,22.99,28.31,21.17
2024-10-09 22:26:24.268435,Invernadero_4,26.1,26.33,16.19,11.97,23.47,21.13,27.51,29.53,25.76,28.61
2024-10-10 02:26:24.268435,Invernadero_1,12.31,14.94,27.52,26.92,16.05,18.24,26.55,27.86,28.09,28.7
2024-10-10 02:26:24.268435,Invernadero_2,17.98,19.21,21.66,13.77,27.51,25.49,15.02,15.8,12.47,17.44
2024-10-10 02:26:24.268435,Invernadero_3,23.69,22.33,26.31,19.27,28.32,17.6,11.95,18.17,10.9,25.05
2024-10-10 02:26:24.268435,Invernadero_4,28.72,17.24,21.3,28.85,12.12,28.31,23.85,27.83,22.43,23.62
2024-10-10 06:26:24.268435,Invernadero_1,28.5,19.73,15.3,27.69,19.19,12.2,28.73,14.02,16.74,23.63
2024-10-10 06:26:24.268435,Invernadero_2,16.23,29.55,24.75,24.91,21.52,10.15,24.32,23.9,14.0,23.73
2024-10-10 06:26:24.268435,Invernadero_3,17.87,24.96,26.02,12.43,27.0,20.21,22.39,10.48,18.07,12.81
2024-10-10 06:26:24.268435,Invernadero_4,17.54,17.69,22.31,13.7,18.9,10.58,16.21,28.02,22.78,12.8
2024-10-10 10:26:24.268435,Invernadero_1,13.22,26.58,23.6,21.3,26.21,23.67,27.98,25.03,23.39,14.26
2024-10-10 10:26:24.268435,Invernadero_2,18.96,19.2,16.09,15.6,19.05,28.6,15.19,18.19,21.68,23.2
2024-10-10 10:26:24.268435,Invernadero_3,10.91,19.18,26.52,27.78,16.4,11.12,13.61,17.02,13.53,14.54
2024-10-10 10:26:24.268435,Invernadero_4,18.95,17.34,11.58,24.38,23.92,29.27,21.89,16.31,17.02,19.31
2024-10-10 14:26:24.268435,Invernadero_1,28.56,16.67,10.56,13.12,15.1,15.44,26.13,17.97,13.57,26.9
2024-10-10 14:26:24.268435,Invernadero_2,17.46,10.62,17.22,27.76,23.12,17.41,25.39,27.61,27.35,17.98
2024-10-10 14:26:24.268435,Invernadero_3,27.96,14.77,14.05,10.05,25.59,29.54,27.43,25.06,26.22,14.3
2024-10-10 14:26:24.268435,Invernadero_4,16.6,13.79,27.45,17.97,17.53,23.53,22.71,15.12,22.45,24.36
2024-10-10 18:26:24.268435,Invernadero_1,19.77,16.79,25.67,28.15,29.09,14.78,12.79,24.9,27.73,21.89
2024-10-10 18:26:24.268435,Invernadero_2,24.17,11.91,20.43,13.07,25.28,25.39,13.03,23.8,16.19,22.35
2024-10-10 18:26:24.268435,Invernadero_3,15.46,25.17,17.52,10.81,20.6,17.44,23.89,27.75,26.31,11.52
2024-10-10 18:26:24.268435,Invernadero_4,15.55,11.66,16.84,27.71,15.51,26.87,26.02,20.67,29.23,16.7
2024-10-10 22:26:24.268435,Invernadero_1,14.77,15.2,13.79,13.57,18.96,17.62,19.54,18.92,22.06,20.14
2024-10-10 22:26:24.268435,Invernadero_2,24.76,19.81,29.96,27.82,17.84,18.8,24.34,20.34,25.68,24.85
2024-10-10 22:26:24.268435,Invernadero_3,20.24,13.41,13.89,24.62,29.21,20.26,16.8,20.33,11.18,16.56
2024-10-10 22:26:24.268435,Invernadero_4,21.56,18.26,11.32,17.32,25.5,23.88,28.07,26.08,27.04,27.07
2024-10-11 02:26:24.268435,Invernadero_1,11.46,14.48,18.44,16.19,28.47,22.95,24.26,17.2,12.29,17.8
2024-10-11 02:26:24.268435,Invernadero_2,27.64,11.08,21.66,17.5,18.99,17.4,23.85,18.8,19.0,25.92
2024-10-11 02:26:24.268435,Invernadero_3,18.74,25.14,20.04,24.59,23.32,23.0,15.48,10.16,14.64,28.09
2024-10-11 02:26:24.268435,Invernadero_4,23.04,25.4,20.92,29.44,19.63,10.1,26.23,18.38,10.28,23.25
2024-10-11 06:26:24.268435,Invernadero_1,23.3,25.82,11.05,29.59,19.96,16.91,29.2,15.28,22.07,15.53
2024-10-11 06:26:24.268435,Invernadero_2,23.38,18.46,25.32,16.91,10.16,28.89,28.44,18.84,11.36,23.99
2024-10-11 06:26:24.268435,Invernadero_3,26.06,26.51,26.21,18.87,14.24,14.35,19.33,19.33,27.78,13.33
2024-10-11 06:26:24.268435,Invernadero_4,28.26,18.97,15.06,20.9,18.59,14.35,25.55,22.99,24.85,25.66
2024-10-11 10:26:24.268435,Invernadero_1,19.74,28.81,25.92,26.58,26.6,22.52,19.01,15.03,10.61,14.49
2024-10-11 10:26:24.268435,Invernadero_2,13.5,14.6,15.41,27.99,21.27,16.26,28.12,20.62,13.85,19.18
2024-10-11 10:26:24.268435,Invernadero_3,26.67,16.1,25.34,22.96,22.04,15.82,19.73,14.88,23.82,13.09
2024-10-11 10:26:24.268435,Invernadero_4,18.01,23.56,19.39,12.66,10.84,27.55,26.36,27.1,21.5,24.01
2024-10-11 14:26:24.268435,Invernadero_1,21.14,13.03,11.23,28.02,18.38,27.88,15.96,24.92,22.91,24.37
2024-10-11 14:26:24.268435,Invernadero_2,14.15,18.31,14.49,23.64,23.15,22.48,23.82,21.76,29.85,19.83
2024-10-11 14:26:24.268435,Invernadero_3,18.27,19.02,16.67,25.58,21.28,20.23,23.92,28.42,14.69,27.82
2024-10-11 14:26:24.268435,Invernadero_4,19.8,19.97,11.34,12.79,22.87,26.96,12.55,16.93,26.11,25.64
2024-10-11 18:26:24.268435,Invernadero_1,21.99,24.63,18.99,26.31,16.33,10.5,24.89,17.9,28.35,11.78
2024-10-11 18:26:24.268435,Invernadero_2,27.25,25.96,20.19,16.58,10.96,27.84,17.46,13.9,23.31,10.23
2024-10-11 18:26:24.268435,Invernadero_3,16.51,11.57,13.55,20.37,15.68,16.69,24.74,19.86,26.56,16.1
2024-10-11 18:26:24.268435,Invernadero_4,25.88,29.39,22.74,13.68,22.31,18.07,11.83,28.74,27.21,15.46
2024-10-11 22:26:24.268435,Invernadero_1,15.95,11.42,11.04,20.94,21.53,10.36,24.18,19.79,18.5,15.12
2024-10-11 22:26:24.268435,Invernadero_2,28.11,27.35,23.29,28.41,15.02,19.35,10.65,22.81,21.97,19.67
2024-10-11 22:26:24.268435,Invernadero_3,21.87,25.72,18.83,13.17,10.46,27.37,12.27,28.82,29.7,12.74
2024-10-11 22:26:24.268435,Invernadero_4,14.49,14.06,21.38,25.03,26.91,17.99,27.59,14.28,21.37,21.0
2024-10-12 02:26:24.268435,Invernadero_1,29.48,18.21,15.21,23.24,23.36,22.24,28.17,15.0,29.12,22.33
2024-10-12 02:26:24.268435,Invernadero_2,26.81,28.53,16.18,24.63,27.5,10.04,28.04,19.5,29.25,20.13
2024-10-12 02:26:24.268435,Invernadero_3,12.92,10.55,25.98,15.4,10.67,16.26,18.74,28.33,28.45,15.49
2024-10-12 02:26:24.268435,Invernadero_4,29.09,23.97,10.74,11.48,24.67,14.12,11.59,27.67,20.88,16.57
2024-10-12 06:26:24.268435,Invernadero_1,18.53,25.43,21.01,27.83,23.7,10.32,21.08,25.94,17.47,15.82
2024-10-12 06:26:24.268435,Invernadero_2,14.94,17.58,12.99,24.08,15.45,29.11,15.7,23.34,18.5,17.1
2024-10-12 06:26:24.268435,Invernadero_3,14.26,22.9,13.68,18.03,26.56,18.3,18.15,18.52,23.22,21.0
2024-10-12 06:26:24.268435,Invernadero_4,24.3,26.2,19.36,27.8,27.64,12.09,20.97,10.93,28.37,16.34
2024-10-12 10:26:24.268435,Invernadero_1,16.93,28.34,17.39,23.63,16.22,28.77,18.77,26.57,13.54,27.0
2024-10-12 10:26:24.268435,Invernadero_2,22.67,18.6,11.58,10.41,17.52,23.49,16.88,28.3,27.45,10.59
2024-10-12 10:26:24.268435,Invernadero_3,13.16,18.82,15.83,14.99,13.46,26.17,28.39,12.82,12.09,15.63
2024-10-12 10:26:24.268435,Invernadero_4,17.47,11.33,15.24,29.89,25.35,12.01,21.89,20.08,29.61,12.84
2024-10-12 14:26:24.268435,Invernadero_1,28.41,12.79,29.35,28.45,13.94,10.38,17.68,23.65,28.77,10.43
2024-10-12 14:26:24.268435,Invernadero_2,29.59,23.11,25.72,25.67,20.26,15.87,14.76,10.64,27.58,23.96
2024-10-12 14:26:24.268435,Invernadero_3,29.96,28.06,28.14,25.59,27.91,16.35,29.51,16.29,13.6,26.65
2024-10-12 14:26:24.268435,Invernadero_4,22.38,11.6,29.03,19.38,23.45,27.69,24.2,15.62,12.96,17.46
2024-10-12 18:26:24.268435,Invernadero_1,24.35,22.13,24.91,24.95,17.84,13.95,14.69,10.53,11.54,24.08
2024-10-12 18:26:24.268435,Invernadero_2,29.15,12.31,17.25,21.5,14.89,17.09,15.5,16.13,10.78,17.47
2024-10-12 18:26:24.268435,Invernadero_3,28.72,17.33,21.58,14.71,29.03,28.49,20.94,12.97,26.34,16.97
2024-10-12 18:26:24.268435,Invernadero_4,27.34,11.4,22.88,13.08,11.74,24.04,11.58,13.35,28.36,16.75
